,,,,Marketwise Price & Arrival Report (03-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Feb, 2026","Price on 02 Feb, 2026","Price on 01 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,4000.00,4000.00,-,2.90,103.00,-
Cereals,Maize,2400.00,3250.00,3250.00,-,5.50,92.30,-
Cereals,Wheat,2425.00,3950.00,3950.00,-,629.80,672.90,-
Oil Seeds,Mustard,5950.00,8000.00,8000.00,-,17.60,3.50,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,15500.00,-,-,0.60,-,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,7200.00,7200.00,-,142.90,150.40,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,-,9200.00,-,-,28.40,-
Pulses,Green Gram(Moong)(Whole),8768.00,10500.00,10500.00,-,78.70,18.30,-
Pulses,Lentil(Masur)(Whole),6700.00,9050.00,9050.00,-,45.40,27.80,-

