,,,,Marketwise Price & Arrival Report (03-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Feb, 2026","Price on 02 Feb, 2026","Price on 01 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3900.00,3900.00,-,46.50,46.20,-
Cereals,Jowar(Sorghum),3699.00,6000.00,6000.00,-,71.40,71.10,-
Cereals,Maize,2400.00,2700.00,2700.00,-,0.20,0.30,-
Cereals,Ragi(Finger Millet),4886.00,5100.00,5100.00,-,0.40,0.50,-
Cereals,Wheat,2425.00,-,-,2700.00,-,-,4.00
Oil Seeds,Soyabean,5328.00,5555.00,-,-,4.80,-,-
Oil Seeds,Sunflower,7721.00,8110.00,-,-,2.30,-,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,6750.00,6750.00,-,4.50,4.40,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8750.00,8750.00,-,0.40,0.50,-
Pulses,Green Gram(Moong)(Whole),8768.00,9150.00,9150.00,-,3.90,3.40,-
Pulses,Lentil(Masur)(Whole),6700.00,7000.00,7000.00,-,4.20,4.30,-

