,,,,Marketwise Price & Arrival Report (03-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 03 Feb, 2026","Price on 02 Feb, 2026","Price on 01 Feb, 2026","Arrival on 03 Feb, 2026","Arrival on 02 Feb, 2026","Arrival on 01 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3200.00,3200.00,3200.00,0.30,0.30,0.30
Cereals,Wheat,2425.00,2903.37,2838.13,3004.40,62.30,59.80,44.30
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,19000.00,19000.00,19000.00,0.30,0.30,0.30
Pulses,Bengal Gram(Gram)(Whole),5650.00,7000.00,7000.00,7000.00,0.30,0.30,0.30
Pulses,Black Gram(Urd Beans)(Whole),7800.00,12000.00,11500.00,12000.00,0.30,0.30,0.30
Pulses,Green Gram(Moong)(Whole),8768.00,10500.00,10500.00,10500.00,0.30,0.30,0.30

